ct3,k3,k4,run_name,events,cross_section_pb,cross_section_over_sm,lhe
0,1,1,ct3_shape14_k3_p1_k4_p1_reference,100000,0.000043391,1,/home/apapaefs/Projects/TripleHiggsTopEffects/artifacts/lhe/14tev-ct3-sm-shapes/ct3_shape14_k3_p1_k4_p1_reference.unweighted_events.lhe.gz
0.10,1,1,ct3_shape14_k3_p1_k4_p1_ct3_p0p1,100000,0.000037853,0.8723698462814869442972044894,/home/apapaefs/Projects/TripleHiggsTopEffects/artifacts/lhe/14tev-ct3-sm-shapes/ct3_shape14_k3_p1_k4_p1_ct3_p0p1.unweighted_events.lhe.gz
0.18,1,1,ct3_shape14_k3_p1_k4_p1_ct3_p0p18_rate_degenerate,100000,0.000043575,1.004240510704984904703740407,/home/apapaefs/Projects/TripleHiggsTopEffects/artifacts/lhe/14tev-ct3-sm-shapes/ct3_shape14_k3_p1_k4_p1_ct3_p0p18_rate_degenerate.unweighted_events.lhe.gz
