# 14 TeV 100k-event production benchmarks selected by the rate pilots.
# k3/k4 are physical kappas; the driver writes D3=k3-1 and D4=k4-1.
name,k3,k4,ct3
production14_k3_p2p1_k4_p17_ct3_m0p2,2.10,17,-0.20
production14_k3_p1p868_k4_p0_ct3_p0p4,1.868,0,0.40
