# Selected two-significant-figure mu_3h = 75 analogues of the current
# hard and soft Figure 9 benchmarks.  The fitted signal strengths are
# 75.046 and 75.100, respectively.
name,k3,k4,ct3
mu75_hard_k3_p2p1_k4_p16_ct3_m2p3,2.1,16,-2.3
mu75_soft_k3_p6p0_k4_p64_ct3_m0p48,6.0,64,-0.48
