coefficient,c00,c10,c20,c30,c40,c01,c11,c21,c02,d00,d10,d20,d01,e00
c00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
c10,0.000000000000e+00,1.000000000000e+00,-8.630453737070e-01,2.155883066931e-01,3.621343689347e-01,-2.181425439171e-01,3.598149047005e-01,-2.420398287423e-01,-1.715987177105e-01,1.322929367218e-01,8.776403860087e-02,-1.710085496886e-01,-1.211661829377e-01,-2.054563576330e-01
c20,0.000000000000e+00,-8.630453737070e-01,1.000000000000e+00,-6.552894808200e-01,7.227241797366e-02,1.805233851626e-02,-7.455656542600e-01,6.466154798621e-01,5.968503690002e-01,-3.972804313192e-01,-3.472932614256e-01,4.612558875408e-01,4.924693011309e-01,6.182429080521e-01
c30,0.000000000000e+00,2.155883066931e-01,-6.552894808200e-01,1.000000000000e+00,-7.654474889407e-01,3.018933621958e-01,9.710382325184e-01,-9.531491254138e-01,-9.578279500892e-01,6.046742102027e-01,5.708133146688e-01,-6.798703584111e-01,-8.219434544397e-01,-9.417575509630e-01
c40,0.000000000000e+00,3.621343689347e-01,7.227241797366e-02,-7.654474889407e-01,1.000000000000e+00,-4.076463990670e-01,-6.774030314704e-01,7.564263315647e-01,7.959143757488e-01,-4.958970821283e-01,-4.495449348455e-01,5.687237648037e-01,6.979487331599e-01,7.728474953558e-01
c01,0.000000000000e+00,-2.181425439171e-01,1.805233851626e-02,3.018933621958e-01,-4.076463990670e-01,1.000000000000e+00,1.657502764622e-01,-5.016129165868e-01,-4.714020483067e-01,2.080330404436e-01,3.450052685229e-01,-2.821106963048e-01,-4.634238360592e-01,-3.242858558065e-01
c11,0.000000000000e+00,3.598149047005e-01,-7.455656542600e-01,9.710382325184e-01,-6.774030314704e-01,1.657502764622e-01,1.000000000000e+00,-9.218103553144e-01,-9.163923635271e-01,5.876362346946e-01,5.291611268592e-01,-6.446840952754e-01,-7.865897883614e-01,-9.154466386868e-01
c21,0.000000000000e+00,-2.420398287423e-01,6.466154798621e-01,-9.531491254138e-01,7.564263315647e-01,-5.016129165868e-01,-9.218103553144e-01,1.000000000000e+00,9.775465460828e-01,-5.944332559392e-01,-5.706308565639e-01,6.884335693506e-01,8.574258188457e-01,9.261788446225e-01
c02,0.000000000000e+00,-1.715987177105e-01,5.968503690002e-01,-9.578279500892e-01,7.959143757488e-01,-4.714020483067e-01,-9.163923635271e-01,9.775465460828e-01,1.000000000000e+00,-6.113620943220e-01,-5.888075362024e-01,7.001287671977e-01,8.609640179278e-01,9.522367470079e-01
d00,0.000000000000e+00,1.322929367218e-01,-3.972804313192e-01,6.046742102027e-01,-4.958970821283e-01,2.080330404436e-01,5.876362346946e-01,-5.944332559392e-01,-6.113620943220e-01,1.000000000000e+00,3.270789781452e-01,-5.234583387499e-01,-5.047528349983e-01,-6.503426858058e-01
d10,0.000000000000e+00,8.776403860087e-02,-3.472932614256e-01,5.708133146688e-01,-4.495449348455e-01,3.450052685229e-01,5.291611268592e-01,-5.706308565639e-01,-5.888075362024e-01,3.270789781452e-01,1.000000000000e+00,-7.954801741049e-02,-6.898791196176e-01,-5.696249954811e-01
d20,0.000000000000e+00,-1.710085496886e-01,4.612558875408e-01,-6.798703584111e-01,5.687237648037e-01,-2.821106963048e-01,-6.446840952754e-01,6.884335693506e-01,7.001287671977e-01,-5.234583387499e-01,-7.954801741049e-02,1.000000000000e+00,6.423374764448e-01,7.156719733061e-01
d01,0.000000000000e+00,-1.211661829377e-01,4.924693011309e-01,-8.219434544397e-01,6.979487331599e-01,-4.634238360592e-01,-7.865897883614e-01,8.574258188457e-01,8.609640179278e-01,-5.047528349983e-01,-6.898791196176e-01,6.423374764448e-01,1.000000000000e+00,8.243658281125e-01
e00,0.000000000000e+00,-2.054563576330e-01,6.182429080521e-01,-9.417575509630e-01,7.728474953558e-01,-3.242858558065e-01,-9.154466386868e-01,9.261788446225e-01,9.522367470079e-01,-6.503426858058e-01,-5.696249954811e-01,7.156719733061e-01,8.243658281125e-01,1.000000000000e+00
