coefficient,c00,c10,c20,c30,c40,c01,c11,c21,c02,d00,d10,d20,d01,e00
c00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
c10,0.000000000000e+00,3.621032678486e-05,-1.985120838702e-05,3.078520955545e-07,4.340653181827e-07,-7.631931317047e-07,6.505599849709e-07,-1.007763656768e-07,2.290625889615e-10,2.950739036331e-07,1.339773004657e-07,-9.576037665951e-08,-4.154603342751e-08,-1.932945145242e-06
c20,0.000000000000e+00,-1.985120838702e-05,1.161168827314e-05,-2.761866612049e-07,-2.440425914977e-07,4.333503495080e-07,-4.096716602278e-07,6.693071571619e-08,2.574053529882e-09,-6.342515632139e-07,-8.640236697912e-07,2.381238429715e-07,1.885253514011e-07,4.223520248140e-06
c30,0.000000000000e+00,3.078520955545e-07,-2.761866612049e-07,3.347555526862e-08,1.302462699735e-09,-8.144593471827e-09,2.283054071239e-08,-4.889074366314e-09,-1.161445543169e-09,1.825803576546e-07,2.947101782435e-07,-7.754457941011e-08,-6.313405038368e-08,-1.208584495728e-06
c40,0.000000000000e+00,4.340653181827e-07,-2.440425914977e-07,1.302462699735e-09,6.239780941577e-09,-1.018424978165e-08,5.887620254160e-09,-6.627680871560e-10,1.943356390027e-10,-2.504065837723e-08,-4.280148911706e-08,1.075390747017e-08,8.835844516094e-09,1.645239727268e-07
c01,0.000000000000e+00,-7.631931317047e-07,4.333503495080e-07,-8.144593471826e-09,-1.018424978165e-08,1.586889596011e-07,-2.777341842389e-08,-3.920257147019e-09,-2.895623817494e-10,6.033781701383e-08,5.777220178742e-07,2.545940603531e-08,-5.759422323366e-08,-4.144582822177e-07
c11,0.000000000000e+00,6.505599849709e-07,-4.096716602278e-07,2.283054071239e-08,5.887620254160e-09,-2.777341842389e-08,2.621529616734e-08,-3.390639313877e-09,-7.390827643370e-10,1.119085157616e-07,1.616806056007e-07,-5.018006701584e-08,-3.994084503304e-08,-7.544357244004e-07
c21,0.000000000000e+00,-1.007763656768e-07,6.693071571619e-08,-4.889074366314e-09,-6.627680871560e-10,-3.920257147019e-09,-3.390639313877e-09,1.251107518504e-09,2.239940100257e-10,-3.256112950302e-08,-7.574387234439e-08,1.048266211980e-08,1.243301997252e-08,2.149314890342e-07
c02,0.000000000000e+00,2.290625889614e-10,2.574053529882e-09,-1.161445543169e-09,1.943356390027e-10,-2.895623817494e-10,-7.390827643370e-10,2.239940100257e-10,1.022544449386e-10,-1.137524725937e-08,-2.558599715948e-08,3.372329789003e-09,4.276300456444e-09,7.616249682084e-08
d00,0.000000000000e+00,2.950739036331e-07,-6.342515632139e-07,1.825803576546e-07,-2.504065837723e-08,6.033781701383e-08,1.119085157616e-07,-3.256112950302e-08,-1.137524725937e-08,7.365853911677e-05,-7.291879939985e-06,-3.088112571957e-06,2.972549874383e-07,-1.048614637975e-05
d10,0.000000000000e+00,1.339773004657e-07,-8.640236697912e-07,2.947101782435e-07,-4.280148911706e-08,5.777220178742e-07,1.616806056007e-07,-7.574387234439e-08,-2.558599715948e-08,-7.291879939985e-06,5.394863434529e-05,3.970286475090e-06,-1.951140048023e-06,-1.829676835389e-05
d20,0.000000000000e+00,-9.576037665951e-08,2.381238429715e-07,-7.754457941011e-08,1.075390747017e-08,2.545940603531e-08,-5.018006701584e-08,1.048266211980e-08,3.372329789003e-09,-3.088112571957e-06,3.970286475090e-06,1.431975792188e-06,1.888952325430e-07,4.054305534388e-06
d01,0.000000000000e+00,-4.154603342752e-08,1.885253514011e-07,-6.313405038368e-08,8.835844516094e-09,-5.759422323366e-08,-3.994084503304e-08,1.243301997252e-08,4.276300456444e-09,2.972549874383e-07,-1.951140048023e-06,1.888952325430e-07,4.703705370698e-07,4.244434034107e-06
e00,0.000000000000e+00,-1.932945145242e-06,4.223520248140e-06,-1.208584495728e-06,1.645239727268e-07,-4.144582822177e-07,-7.544357244004e-07,2.149314890342e-07,7.616249682084e-08,-1.048614637975e-05,-1.829676835389e-05,4.054305534388e-06,4.244434034107e-06,9.399926531027e-05
