energy_tev,run_name,k3,k4,k3t,cross_section_pb,cross_section_error_pb,prediction_pb,prediction_error_pb,relative_residual,pull,requested_events
13,ct3_ratefit_baseline_k3_p3_k4_p50,3.0,50.0,0.0,0.0012882,2.806e-07,0.0012885311681475088,2.7192426417979786e-07,-0.00025707820797146134,-1.180214353203266,20000
13,ct3_ratefit_contact_b_m5,6.0,50.0,-5.0,0.011226,2.095e-05,0.011221421152292292,1.2813630894941269e-05,0.0004078788266263783,0.21856074977125167,20000
13,ct3_ratefit_contact_b_m0p5,6.0,50.0,-0.5,0.0021183,2.0026e-06,0.0021131981585576867,1.346253671431784e-06,0.002408460294723775,2.5476088296781048,20000
13,ct3_ratefit_baseline_k3_p6_k4_p50,6.0,50.0,0.0,0.0027661,1.7458e-06,0.0027666415677177073,9.016534009922652e-07,-0.00019578746889382752,-0.3102117755225205,20000
13,ct3_ratefit_contact_b_p0p5,6.0,50.0,0.5,0.0037586,5.1828e-06,0.0037531786141260562,1.646536416002594e-06,0.0014423950071685522,1.0460341656910783,20000
13,ct3_ratefit_contact_b_p5,6.0,50.0,5.0,0.027692,2.6645e-05,0.02762122570797599,1.3696010785466637e-05,0.0025557667204973186,2.6561941086136893,20000
13.6,ct3_ratefit_baseline_k3_m8_k4_m50,-8.0,-50.0,0.0,0.013982,1.753e-05,0.013981726045060866,1.0236040184791709e-05,1.9593401454245752e-05,0.015627777474801145,20000
13.6,ct3_ratefit_contact_c_m5,-5.0,-50.0,-5.0,0.018775,2.2736e-05,0.018769657105630472,1.2891577914066143e-05,0.0002845749331306676,0.23499711336771129,20000
13.6,ct3_ratefit_contact_c_m0p5,-5.0,-50.0,-0.5,0.0023759,3.2143e-06,0.0023775113274244193,1.8448639166396997e-06,-0.0006781966515507789,-0.5012996373765658,20000
13.6,ct3_ratefit_baseline_k3_m5_k4_m50,-5.0,-50.0,0.0,0.0024747,1.959e-06,0.002477535003744932,1.2399689977366562e-06,-0.0011455949185486696,-1.4471688335540547,20000
13.6,ct3_ratefit_contact_c_p0p5,-5.0,-50.0,0.5,0.0029647,1.711e-06,0.002961833321511905,1.3723520829392812e-06,0.0009669371228437753,1.6754403787813796,20000
13.6,ct3_ratefit_contact_c_p5,-5.0,-50.0,5.0,0.024645,3.2018e-05,0.02461287704650534,1.3184701476622035e-05,0.0013034268003514185,1.0032779528596638,20000
13.6,ct3_ratefit_baseline_k3_p1_k4_m50,1.0,-50.0,0.0,0.0023481,1.4782e-06,0.0023464311753666157,1.0403716154654023e-06,0.0007107127606934923,1.1289572678828232,20000
13.6,ct3_ratefit_contact_d_m5,3.0,-50.0,-5.0,0.033317,2.114e-05,0.033286992589141584,1.320649794379444e-05,0.0009006636509414201,1.4194612515806666,20000
